nom_arrond,no_arrond,artiste,annee
Le Sud-Ouest,8,Nelio,2017
Ville-Marie,6,1010,2017
Rosemont-La Petite-Patrie,3,Benny Wilding,2017
Rosemont-La Petite-Patrie,3,VHILS,2017
Mercier-Hochelaga-Maisonneuve,4,A'Shop (Ankh One),2016
Ville-Marie,6,EL MAC (Miles MacGregor) et Gene Pendon,2017
Côte-des-Neiges-Notre-Dame-de-Grâce,7,Francis Montillaud,2017
Le Plateau-Mont-Royal,5,LSNR,2018
Le Plateau-Mont-Royal,5,PONI et Cyrielle Tremblay,2018
Ahuntsic-Cartierville,1,Olivier Bonnard,2018
Côte-des-Neiges-Notre-Dame-de-Grâce,7,Cheap Art Collective (Melanie Stuy),2018
Lachine,24,Artgang (Alexis Masella),2018
Le Sud-Ouest,8,Haks 180 (Hans Schmitter),2018
Le Sud-Ouest,8,Case Maclaim,2018
Le Sud-Ouest,8,A'Shop (Ankh One),2018
Mercier-Hochelaga-Maisonneuve,4,Bryan Beyung,2018
Verdun,16,Dodo Ose,2018
Verdun,16,Antoine Tavaglione,2018
Saint-Laurent,27,Zek One,2018
Ville-Marie,6,A'Shop (Dodo Ose),2018
Le Sud-Ouest,8,Kevin Ledo,2018
Ville-Marie,6,Meky Ottawa,2018
Ville-Marie,6,Fluke,2018
Villeray-Saint-Michel-Parc-Extension,2,Mateo (Mathieu Bories),2018
Rosemont-La Petite-Patrie,3,Monk.E,2018
Rosemont-La Petite-Patrie,3,Cyndie Belhumeur,2018
Rosemont-La Petite-Patrie,3,Mastrocola,2018
Rosemont-La Petite-Patrie,3,Mr Crocks,2018
Rosemont-La Petite-Patrie,3,Naimo,2018
Rosemont-La Petite-Patrie,3,Stack,2018
Le Plateau-Mont-Royal,5,MILLO,2018
Le Plateau-Mont-Royal,5,Jason Cantoro,2018
Ville-Marie,6,Mateo (Mathieu Bories),2019
Ahuntsic-Cartierville,1,Dodo Ose,2019
Saint-Laurent,27,Ankh One (artiste et directeur artistique) et Romain Boz (artiste : fresque sur conteneur),2019
Le Sud-Ouest,8,Zek,2019
Verdun,16,Ankh One et Dodo Ose,2019
Mercier-Hochelaga-Maisonneuve,4,Kevin Ledo ,2019
Côte-des-Neiges-Notre-Dame-de-Grâce,7,Maliciouz,2019
Côte-des-Neiges-Notre-Dame-de-Grâce,7,Maliciouz,2019
Lachine,24,Artducommun,2019
Ville-Marie,6,Monk.E en collaboration avec Marie-Céline Charron,2019
Ville-Marie,6,Romain Boz,2019
Le Plateau-Mont-Royal,5,Melissa Del Pinto,2019
Le Sud-Ouest,8,Doras (Marc O'Brien),2019
Montréal-Nord,11,Alex Snipes,2019
Montréal-Nord,11,Olivier Gaudette,2019
Montréal-Nord,11,Astro,2019
Côte-des-Neiges-Notre-Dame-de-Grâce,7,Cécile Gariépy,2019
Ville-Marie,6,Stare (Simon Bachand),2019
Le Plateau-Mont-Royal,5,Gleo,2019
